year,site,Mean Annual Precipitation (mm),Mean Annual Temperature (¡C),VPD (hPa)
1986,Elkhorn,1018.049986,11.1229167,13.86750007
1987,Elkhorn,967.6599979,11.175,15.2233334
1988,Elkhorn,793.5000129,11.74708354,16.03416665
1989,Elkhorn,787.9199862,11.00208338,14.0083334
1990,Elkhorn,732.93999,11.21874994,14.63333344
1991,Elkhorn,750.439992,11.63583333,15.63000013
1992,Elkhorn,991.8899899,12.15333325,14.42583326
1993,Elkhorn,1179.449993,10.43999989,12.13999989
1994,Elkhorn,631.0700029,11.09499991,15.12083356
1995,Elkhorn,1711.380012,11.32041665,12.85666662
1996,Elkhorn,1482.350019,11.82749991,14.7191667
1997,Elkhorn,934.8599868,11.14874989,13.52083333
1998,Elkhorn,1660.61,9.820416719,11.56666652
1999,Elkhorn,885.0000188,11.10916669,14.51416667
2000,Elkhorn,889.2899938,11.21333345,13.12499982
2001,Elkhorn,973.0600038,12.00166667,14.65916681
2002,Elkhorn,941.3499923,12.27791663,14.23583329
2003,Elkhorn,973.3999803,11.99333342,14.12666663
2004,Elkhorn,917.1000139,12.27916654,15.91666671
2005,Elkhorn,1410.790002,11.69291651,14.30833316
2006,Elkhorn,1023.369998,11.58499996,14.9974999
2007,Elkhorn,577.3499932,12.06458354,14.63750001
2008,Elkhorn,767.1400006,12.25458352,16.72500002
1986,Feather Falls,2428.560011,12.57874993,15.61499989
1987,Feather Falls,1595.260013,12.49833355,16.53500007
1988,Feather Falls,1535.169978,12.96583315,17.52083325
1989,Feather Falls,1675.529981,11.80958331,15.74333322
1990,Feather Falls,1230.029984,11.87958314,15.73500005
1991,Feather Falls,1671.449964,12.12541664,16.26166658
1992,Feather Falls,1838.500046,12.83041686,16.14916666
1993,Feather Falls,2179.920048,11.2920832,13.50000004
1994,Feather Falls,1492.589991,12.30041683,16.44666688
1995,Feather Falls,3239.180005,12.39916639,13.67499985
1996,Feather Falls,3316.500022,12.9062498,15.92500023
1997,Feather Falls,1847.629953,12.58749982,15.59250001
1998,Feather Falls,2975.069988,10.88875011,12.57499991
1999,Feather Falls,1594.289999,12.43791662,16.53750014
2000,Feather Falls,1974.149998,12.45041688,15.65833332
2001,Feather Falls,1928.800008,13.11374982,18.4058334
2002,Feather Falls,1956.13997,13.00499996,17.99666687
2003,Feather Falls,1965.609968,12.72291684,17.05666637
2004,Feather Falls,1638.880002,12.90833326,17.48166656
2005,Feather Falls,2734.850001,12.53333334,15.80083326
2006,Feather Falls,2280.08001,12.52791659,17.22750014
2007,Feather Falls,1360.230033,12.98291671,17.43583322
2008,Feather Falls,1368.479995,13.2791669,18.77583333
1986,Whitmore,1078.87,14.88250001,19.64666677
1987,Whitmore,778.9299948,15.11833314,22.03999992
1988,Whitmore,742.3399982,15.79166667,23.82583332
1989,Whitmore,911.2900114,14.66624999,20.42833312
1990,Whitmore,649.7900116,14.32333338,20.87166683
1991,Whitmore,728.4799918,15.28750002,21.95333334
1992,Whitmore,833.0000029,15.75875008,21.98666712
1993,Whitmore,1204.190009,14.24666653,18.27416666
1994,Whitmore,757.509994,14.57624992,22.62333365
1995,Whitmore,1596.420011,15.47000011,20.58333337
1996,Whitmore,1532.75999,15.85916626,23.1233331
1997,Whitmore,962.4200058,15.5091666,23.00500003
1998,Whitmore,1666.939984,14.15958333,19.14666682
1999,Whitmore,758.8900003,14.99124988,22.16083316
2000,Whitmore,1034.290012,15.0641669,21.93833307
2001,Whitmore,1021.610007,15.6075,24.79416668
2002,Whitmore,893.9600067,15.80333328,25.61166684
2003,Whitmore,1106.609989,15.75041672,24.04583343
2004,Whitmore,884.9900074,15.74624999,24.45916633
2005,Whitmore,1246.850013,15.47083346,22.63416672
2006,Whitmore,1278.549998,15.01999994,22.32166664
2007,Whitmore,649.8999977,15.335,22.45333354
2008,Whitmore,655.7400063,15.55083311,25.31083314